iter	F:beta=2	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.668117478	0.6842360669	0.8620857535	0.4424002264	0.6325374342	0.6325374342
1	0.7538951849	0.6771943834	0.8142157069	0.3574359977	0.7401861594	0.7401861594
2	0.7534520054	0.6693188555	0.8175289099	0.3625173715	0.7389720761	0.7389720761
3	0.7503848645	0.6622106738	0.8465444236	0.4118318867	0.7296641036	0.7296641036
4	0.752005884	0.653942379	0.8438163478	0.4067910951	0.7320922703	0.7320922703
5	0.7955620081	0.6479032346	0.8187723972	0.3644510829	0.7899635775	0.7899635775
6	0.7506370724	0.6418999722	0.8416513809	0.4028552309	0.730878187	0.730878187
7	0.7968417619	0.6343468375	0.818597357	0.3641779929	0.7915823553	0.7915823553
8	0.776552338	0.6304322579	0.7980930231	0.334092901	0.7713476325	0.7713476325
9	0.7972380529	0.6248081618	0.817230959	0.362056213	0.7923917442	0.7923917442
10	0.7835326903	0.6187918225	0.816072179	0.3602706258	0.7757992715	0.7757992715
11	0.7875096788	0.6144014893	0.8161733419	0.360426009	0.780655605	0.780655605
12	0.7911586414	0.609374376	0.8163267576	0.3606618331	0.785107244	0.785107244
13	0.788910436	0.6047386477	0.8131107764	0.3557639272	0.7830837718	0.7830837718
14	0.7962092189	0.6001499355	0.8034669938	0.3416289593	0.7944152165	0.7944152165
15	0.7976294395	0.5942973358	0.8245242739	0.3735906746	0.7911776609	0.7911776609
16	0.7994837605	0.5911131556	0.8169866024	0.3616786306	0.7952246054	0.7952246054
17	0.7993631615	0.5859041415	0.8232528112	0.3715422509	0.7936058276	0.7936058276
18	0.803581432	0.5816101107	0.8178951656	0.3630853994	0.8000809389	0.8000809389
19	0.7989816132	0.576562572	0.8177845185	0.3629136624	0.7944152165	0.7944152165
20	0.8069401395	0.5715331607	0.8183886594	0.3638527742	0.8041278834	0.8041278834
21	0.8015186368	0.5670604652	0.8225034266	0.3703424915	0.7964386888	0.7964386888
22	0.8067409413	0.5631043477	0.8190420221	0.3648723131	0.803723189	0.803723189
23	0.8077377268	0.5592431552	0.8191371558	0.3650211048	0.8049372724	0.8049372724
24	0.807522083	0.5545339769	0.8197056254	0.3659120191	0.8045325779	0.8045325779
25	0.8054279145	0.5501919739	0.8173186045	0.3621917808	0.8025091056	0.8025091056
26	0.8054035373	0.5470513823	0.8138530798	0.3568860122	0.8033184945	0.8033184945
27	0.8024252579	0.5438360152	0.8169816227	0.3616709417	0.7988668555	0.7988668555
28	0.8026123966	0.5399429786	0.8213642113	0.3685292469	0.7980574666	0.7980574666
29	0.8056437419	0.5350397356	0.8201190269	0.3665618643	0.8021044112	0.8021044112
30	0.8040875337	0.5321637629	0.8205233945	0.3671991085	0.8000809389	0.8000809389
31	0.8060013646	0.5287031785	0.8219753429	0.3695003729	0.8021044112	0.8021044112
32	0.8092594086	0.5254426804	0.8219350311	0.3694362018	0.8061513557	0.8061513557
33	0.8088104354	0.5230389084	0.8213021245	0.368430792	0.8057466613	0.8057466613
34	0.8077478811	0.5198291683	0.8225597762	0.370432513	0.8041278834	0.8041278834
35	0.8041595705	0.5171417825	0.826050836	0.3760716327	0.7988668555	0.7988668555
36	0.8119649157	0.5133333122	0.8224350179	0.3702332469	0.8093889114	0.8093889114
37	0.8097874787	0.5107249225	0.8263643389	0.3765840741	0.8057466613	0.8057466613
38	0.8101701238	0.507618583	0.8266540297	0.3770584895	0.8061513557	0.8061513557
39	0.8152003986	0.5057714471	0.8273366228	0.3781797626	0.8122217726	0.8122217726
40	0.81415924	0.5023656246	0.8287018311	0.3804368471	0.8106029947	0.8106029947
41	0.8134403744	0.4995189167	0.8300601123	0.3827018752	0.8093889114	0.8093889114
42	0.8148228842	0.4971792287	0.828756487	0.3805276143	0.8114123837	0.8114123837
43	0.8145287776	0.494181077	0.8272374714	0.3780165913	0.8114123837	0.8114123837
44	0.8149405863	0.4907965552	0.8293656564	0.3815413892	0.8114123837	0.8114123837
45	0.8149321779	0.4893590383	0.8293221146	0.3814687976	0.8114123837	0.8114123837
46	0.8151714329	0.4886953035	0.8288707085	0.3807174037	0.8118170781	0.8118170781
47	0.815368543	0.4861527468	0.8282032917	0.379610365	0.8122217726	0.8122217726
48	0.8141254998	0.4837124001	0.8319266683	0.3858465098	0.8097936058	0.8097936058
49	0.8171605749	0.4815781285	0.8290336899	0.3809884492	0.8142452448	0.8142452448
50	0.8180531445	0.4807435731	0.8285955446	0.3802604265	0.8154593282	0.8154593282
51	0.8158599671	0.4799589018	0.8290554558	0.3810246679	0.812626467	0.812626467
52	0.8159525415	0.4789819415	0.829533643	0.3818216391	0.812626467	0.812626467
53	0.8165000011	0.4762939402	0.8323705938	0.386599923	0.812626467	0.812626467
54	0.8166180117	0.4741624439	0.832984171	0.3876447876	0.812626467	0.812626467
55	0.817503545	0.4733327835	0.8324913025	0.3868051548	0.8138405504	0.8138405504
56	0.8184052384	0.4711967899	0.8320877425	0.3861196319	0.8150546338	0.8150546338
57	0.8180231708	0.469408549	0.8318001532	0.3856321839	0.8146499393	0.8146499393
58	0.8170116939	0.4676796726	0.8316350582	0.3853527607	0.8134358559	0.8134358559
59	0.8193315776	0.4671254757	0.8318163754	0.3856596558	0.8162687171	0.8162687171
60	0.8202318901	0.4648120834	0.8314156661	0.3849818944	0.8174828005	0.8174828005
61	0.8211899557	0.4634284999	0.8329892033	0.3876533742	0.8182921894	0.8182921894
62	0.8200953169	0.4616090392	0.8323903333	0.3866334738	0.817078106	0.817078106
63	0.8193298803	0.4593706821	0.8334928658	0.3885141646	0.8158640227	0.8158640227
64	0.8193129747	0.4574209417	0.8334053979	0.388364477	0.8158640227	0.8158640227
65	0.8198149009	0.4557943847	0.832626322	0.387034906	0.8166734116	0.8166734116
66	0.8208505021	0.4543707902	0.8329203727	0.387535954	0.8178874949	0.8178874949
67	0.8215378232	0.4528300196	0.8331015213	0.387845092	0.8186968839	0.8186968839
68	0.8215886413	0.451721552	0.8333628811	0.3882917466	0.8186968839	0.8186968839
69	0.8244201018	0.450635219	0.83285037	0.3874165872	0.822339134	0.822339134
70	0.8244625586	0.4495869538	0.8330670628	0.3877862595	0.822339134	0.822339134
71	0.8241491628	0.4485786923	0.8331287091	0.3878915202	0.8219344395	0.8219344395
72	0.8247504027	0.44772899	0.8328755402	0.3874595007	0.8227438284	0.8227438284
73	0.8260539949	0.447021125	0.8328895302	0.3874833555	0.8243626062	0.8243626062
