iter	Passed	Remaining
0	22	11085
1	42	10639
2	63	10471
3	84	10534
4	105	10456
5	121	10007
6	140	9909
7	160	9889
8	184	10077
9	205	10050
10	227	10104
11	248	10124
12	270	10141
13	292	10167
14	316	10234
15	336	10175
16	357	10154
17	377	10106
18	403	10224
19	425	10223
20	445	10151
21	465	10107
22	493	10232
23	521	10341
24	553	10521
25	577	10536
26	600	10520
27	621	10479
28	641	10416
29	657	10295
30	679	10286
31	700	10250
32	724	10245
33	743	10197
34	763	10139
35	788	10162
36	807	10105
37	823	10014
38	844	9978
39	864	9945
40	887	9930
41	907	9897
42	927	9861
43	945	9802
44	963	9746
45	983	9709
46	1001	9654
47	1022	9625
48	1042	9592
49	1057	9521
50	1074	9458
51	1092	9409
52	1111	9370
53	1132	9354
54	1154	9339
55	1177	9332
56	1194	9280
57	1212	9240
58	1232	9213
59	1254	9197
60	1269	9135
61	1292	9128
62	1311	9097
63	1331	9069
64	1359	9100
65	1377	9056
66	1396	9022
67	1417	9002
68	1438	8982
69	1459	8966
70	1480	8943
71	1501	8927
72	1526	8929
73	1543	8885
74	1560	8841
75	1581	8820
76	1598	8779
77	1619	8762
78	1638	8730
79	1657	8702
80	1677	8675
81	1697	8652
82	1716	8625
83	1731	8577
84	1750	8545
85	1767	8508
86	1790	8500
87	1809	8470
88	1824	8425
89	1845	8408
90	1869	8400
91	1888	8376
92	1904	8333
93	1922	8302
94	1936	8256
95	1953	8219
96	1971	8190
97	1992	8175
98	2013	8155
99	2035	8141
100	2054	8117
101	2127	8301
102	2159	8322
103	2179	8300
104	2203	8290
105	2227	8278
106	2252	8274
107	2270	8242
108	2292	8225
109	2329	8258
110	2354	8250
111	2376	8231
112	2396	8207
113	2416	8183
