iter	F:beta=2	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false
0	0.7808836873	0.6643930094	0.80538348	0.3443625247	0.7749898826	0.7749898826
1	0.7805395716	0.6397314367	0.8053015965	0.3442446043	0.7745851882	0.7745851882
2	0.7803650539	0.6170121749	0.8061240213	0.3454315637	0.7741804937	0.7741804937
3	0.7965798824	0.5936468039	0.8053578139	0.3443255569	0.7944152165	0.7944152165
4	0.8064331137	0.5732339089	0.8059417423	0.3451679945	0.8065560502	0.8065560502
5	0.801498971	0.5562001012	0.8258700474	0.375764526	0.7956292999	0.7956292999
6	0.8144039137	0.5402962564	0.8166651881	0.361170977	0.8138405504	0.8138405504
7	0.8177458673	0.5260059709	0.8139637935	0.3570420049	0.8186968839	0.8186968839
8	0.8209980145	0.5121515218	0.8140882258	0.3572307152	0.8227438284	0.8227438284
9	0.8317066924	0.4999144381	0.8085018866	0.3488960054	0.8377175233	0.8377175233
10	0.8332585123	0.4863529995	0.8174264108	0.3623467601	0.8373128288	0.8373128288
11	0.8405857245	0.4761834348	0.812787725	0.3552653892	0.8478348847	0.8478348847
12	0.8385889386	0.4649661527	0.8153865875	0.3592082616	0.844597329	0.844597329
13	0.8389212797	0.4568780824	0.8200033613	0.3663679494	0.8437879401	0.8437879401
14	0.8431189154	0.4488814024	0.8247682586	0.3739735809	0.8478348847	0.8478348847
15	0.8438758506	0.4416315016	0.8268608637	0.377385668	0.8482395791	0.8482395791
16	0.8433860019	0.4347924142	0.8260477692	0.3760545683	0.8478348847	0.8478348847
17	0.8447156071	0.4272684425	0.826280406	0.3764347202	0.8494536625	0.8494536625
18	0.8443936274	0.4210699465	0.8293523619	0.3815070987	0.8482395791	0.8482395791
19	0.8468312867	0.4163761067	0.8302811107	0.3830601093	0.8510724403	0.8510724403
20	0.8446721053	0.4122234519	0.8322534885	0.3863887864	0.8478348847	0.8478348847
21	0.8457696763	0.4083191997	0.8313478237	0.3848551522	0.8494536625	0.8494536625
22	0.8483719916	0.4049194396	0.8330669631	0.3877738906	0.8522865237	0.8522865237
23	0.847529557	0.4023314478	0.8320986129	0.3861258947	0.8514771348	0.8514771348
24	0.8474983182	0.397826704	0.8334970643	0.3885091447	0.8510724403	0.8510724403
25	0.8501954507	0.3949413112	0.8325864965	0.3869549285	0.8547146904	0.8547146904
26	0.8522774532	0.3904576308	0.8333559247	0.3882676444	0.8571428571	0.8571428571
27	0.8516466501	0.38725323	0.836482143	0.3936685289	0.8555240793	0.8555240793
28	0.8512340317	0.3849908725	0.8360393893	0.3928969877	0.8551193849	0.8551193849
29	0.853581332	0.3827977251	0.8365341417	0.3937592868	0.8579522461	0.8579522461
30	0.8525793997	0.3796658835	0.8363404056	0.3934212972	0.8567381627	0.8567381627
31	0.8523673155	0.3777940314	0.836863411	0.3943347	0.8563334682	0.8563334682
32	0.8526316978	0.3763198195	0.83659209	0.3938604651	0.8567381627	0.8567381627
33	0.8533433528	0.3732745566	0.8369308578	0.3944527178	0.8575475516	0.8575475516
34	0.8546264429	0.3720342834	0.8369367468	0.3944630249	0.8591663294	0.8591663294
35	0.8558197953	0.3707577406	0.838050776	0.3964199142	0.8603804128	0.8603804128
36	0.8583205582	0.3681312615	0.8392920401	0.3986170809	0.863213274	0.863213274
37	0.8588906076	0.3669476297	0.8389578975	0.3980238628	0.8640226629	0.8640226629
38	0.8603370977	0.3656450104	0.8397542359	0.3994397759	0.8656414407	0.8656414407
39	0.8597412109	0.3644270718	0.8399634051	0.3998129093	0.8648320518	0.8648320518
40	0.8598378007	0.3635088844	0.8404245914	0.4006374203	0.8648320518	0.8648320518
41	0.859451937	0.3627309894	0.8401101109	0.4000749204	0.8644273573	0.8644273573
42	0.8605215984	0.3606576363	0.8406338592	0.4010123735	0.8656414407	0.8656414407
43	0.8599256285	0.3597879272	0.8408442913	0.4013899324	0.8648320518	0.8648320518
44	0.8608810065	0.3592037035	0.8408222368	0.4013503376	0.8660461352	0.8660461352
45	0.8619414154	0.3577797031	0.8413029736	0.4022147147	0.8672602185	0.8672602185
46	0.8619502157	0.3571449803	0.8413448948	0.4022902196	0.8672602185	0.8672602185
47	0.8615733243	0.3564419223	0.8410729513	0.4018007878	0.8668555241	0.8668555241
48	0.8627391638	0.3553143376	0.8420563346	0.4035747883	0.8680696074	0.8680696074
49	0.8643848969	0.354673973	0.8422819765	0.4039834649	0.8700930797	0.8700930797
50	0.8656881183	0.3534408176	0.8424032785	0.4042034153	0.8717118575	0.8717118575
51	0.8657057817	0.3526562091	0.8424869152	0.4043551718	0.8717118575	0.8717118575
52	0.8660380746	0.3521669089	0.8425484986	0.404466967	0.872116552	0.872116552
53	0.8657676094	0.3516872942	0.8427797742	0.404887218	0.8717118575	0.8717118575
54	0.865093998	0.3511657778	0.842614773	0.4045873284	0.8709024686	0.8709024686
55	0.8657764426	0.3506168254	0.8428216279	0.404963339	0.8717118575	0.8717118575
