iter	Passed	Remaining
0	17	1685
1	32	1568
2	44	1439
3	58	1401
4	70	1331
5	82	1285
6	96	1276
7	112	1297
8	125	1270
9	139	1255
10	154	1249
11	168	1236
12	180	1210
13	190	1172
14	204	1158
15	216	1135
16	228	1115
17	243	1107
18	255	1091
19	269	1078
20	281	1058
21	292	1035
22	302	1013
23	314	995
24	325	975
25	335	956
26	347	940
27	358	920
28	367	899
29	377	880
30	390	869
31	399	849
32	411	835
33	423	822
34	435	809
35	448	796
36	459	782
37	470	767
38	481	752
39	495	742
40	507	730
41	517	714
42	529	702
43	542	690
44	554	678
45	562	660
46	575	648
47	586	634
48	597	622
49	612	612
50	625	600
51	636	587
52	649	576
53	664	565
54	677	554
55	687	540
56	702	529
57	713	516
58	729	506
59	741	494
60	754	482
61	761	466
62	772	453
63	781	439
64	792	426
65	806	415
66	818	402
67	824	387
68	839	377
69	852	365
70	865	353
71	880	342
72	894	330
73	904	317
74	917	305
75	930	293
76	942	281
77	959	270
78	972	258
79	984	246
80	999	234
81	1013	222
82	1025	210
83	1039	198
84	1054	186
85	1067	173
86	1079	161
87	1092	149
88	1108	137
89	1121	124
90	1135	112
91	1149	99
92	1161	87
93	1175	75
94	1188	62
95	1202	50
96	1214	37
97	1227	25
98	1240	12
99	1254	0
